seed,method,lambda,gini,max_min_ratio,total_expected_production,mean_entropy,weakest_production,strongest_production,production_gap
1,LP,0.0,2.142350709811407e-10,1.0000000009640577,1.8611695540731361,1.5995350836868643,0.6203898511042748,0.6203898517023665,5.980916872871944e-10
1,LP,0.08333333333333333,1.1864715005333838e-10,1.0000000005339122,1.8611421737989329,1.6020845732691589,0.6203807244018933,0.6203807247331221,3.3122882214797755e-10
1,LP,0.16666666666666666,2.9770725146775734e-10,1.0000000013396826,1.8611416935241762,1.6020978100202197,0.6203805640693278,0.6203805649004409,8.311130672566946e-10
1,LP,0.25,9.203500600645152e-11,1.0000000004141576,1.8611438920093462,1.6020987133410562,0.6203812972078889,0.6203812974648245,2.569355839199261e-10
1,LP,0.3333333333333333,1.8567447935999445e-10,1.0000000008355352,1.8611151114703937,1.6020983046965158,0.6203717035806194,0.6203717040989618,5.183423690269251e-10
1,LP,0.41666666666666663,5.772963456661324e-11,1.0000000002597833,1.8611248115338213,1.602098821340957,0.6203749370780032,0.6203749372391663,1.6116308287905667e-10
1,LP,0.5,5.430334942711164e-11,1.000000000244365,1.861145133087592,1.6020990430043132,0.6203817109601923,0.620381711111792,1.5159962174493558e-10
1,LP,0.5833333333333333,1.1796402885817727e-10,1.000000000530838,1.8611650350769264,1.602098767277348,0.6203883448097693,0.6203883451390951,3.2932578886146757e-10
1,LP,0.6666666666666666,1.8781495599690799e-10,1.0000000008451673,1.8611641314532394,1.602098890841009,0.6203880436377938,0.6203880441621255,5.243316891778704e-10
1,LP,0.75,1.208686804545274e-10,1.0000000005439091,1.861163893021748,1.6020989338637834,0.6203879641962678,0.6203879645337025,3.374346357887248e-10
1,LP,0.8333333333333333,1.404194828780696e-10,1.0000000006318877,1.8611634800267012,1.6020989778558692,0.6203878264255451,0.6203878268175606,3.9201542012534674e-10
1,LP,0.9166666666666666,7.006904175246456e-11,1.0000000003153107,1.8611629592087702,1.6020990164745215,0.6203876529425871,0.620387653138202,1.9561485764540976e-10
1,LP,1.0,7.709737514132152e-11,1.0000000003469383,1.8611629067092879,1.6020990376928277,0.6203876354480943,0.6203876356633304,2.1523616222651754e-10
1,LP,1.0833333333333333,6.122322731977125e-11,1.0000000002755045,1.8611630397990448,1.6020990506692183,0.6203876798723436,0.6203876800432632,1.7091961179716009e-10
1,LP,1.1666666666666665,2.382444306432971e-10,1.0000000010721,1.861162825709241,1.6020990476653652,0.6203876082199056,0.6203876088850231,6.651175166183521e-10
1,LP,1.25,1.0442427764824996e-10,1.0000000004699092,1.8611616572992922,1.6020990374448025,0.6203872189317954,0.6203872192233211,2.915256924751475e-10
1,LP,1.3333333333333333,5.4856698589219044e-11,1.0000000002468552,1.8611609553322777,1.6020990486700175,0.6203869850167395,0.6203869851698852,1.5314571832902857e-10
1,LP,1.4166666666666665,1.7266248014963866e-10,1.0000000007769811,1.8611604206187924,1.6020990831519066,0.6203868066296045,0.6203868071116334,4.820288612705781e-10
1,LP,1.5,1.1038423935190491e-10,1.000000000496729,1.8611751409197348,1.6020995974614458,0.6203917135054158,0.6203917138135824,3.0816660334664903e-10
1,LP,1.5833333333333333,3.108089997426387e-10,1.0000000013986405,1.861172613879223,1.6020996103733103,0.6203908709933672,0.620390871861071,8.677037977022906e-10
1,LP,1.6666666666666665,5.581052895147529e-11,1.0000000002511473,1.8611705035702537,1.6020996264991247,0.6203901677598883,0.6203901679156977,1.5580936540970924e-10
1,LP,1.75,1.75191230632996e-10,1.0000000007883605,1.8611687167831508,1.6020996385918727,0.6203895720925241,0.6203895725816148,4.890906568633113e-10
1,LP,1.8333333333333333,2.1804326410215704e-10,1.0000000009811947,1.861166704076332,1.602099659845442,0.620388900976687,0.6203889015854093,6.087222947925852e-10
1,LP,1.9166666666666665,2.8453343774281686e-10,1.0000000012804005,1.861164657394828,1.602099673362947,0.6203882186817051,0.6203882194760505,7.943453672609735e-10
1,LP,2.0,1.559665811746043e-10,1.0000000007018497,1.8611628586831666,1.6020996771592024,0.6203876193740736,0.6203876198094924,4.3541881211695e-10
1,RANDOM,0.0,0.3252032520325204,6.000000000000001,1.1388888888888888,0.9324606662652619,0.1111111111111111,0.6666666666666667,0.5555555555555556
