seed,method,lambda,player_index,expected_production,entropy,gap_from_max
1,LP,0.0,0,0.6203898512664949,1.5995350836619968,4.3587156106639213e-10
1,LP,0.0,1,0.6203898517023665,1.5995350836766171,0.0
1,LP,0.0,2,0.6203898511042748,1.5995350837219788,5.980916872871944e-10
1,LP,0.2222222222222222,0,0.6203850929793893,1.6020982136211404,0.0
1,LP,0.2222222222222222,1,0.6203850926420862,1.6020982136360653,3.373030743603067e-10
1,LP,0.2222222222222222,2,0.6203850927848813,1.6020982136309998,1.9450796528985848e-10
1,LP,0.4444444444444444,0,0.6203818119505206,1.6020985951456677,0.0
1,LP,0.4444444444444444,1,0.6203818117798996,1.602098595170421,1.7062096180353592e-10
1,LP,0.4444444444444444,2,0.6203818118133932,1.6020985951890534,1.3712730950743435e-10
1,LP,0.6666666666666666,0,0.6203880441621255,1.6020988908520921,0.0
1,LP,0.6666666666666666,1,0.6203880436377938,1.602098890837052,5.243316891778704e-10
1,LP,0.6666666666666666,2,0.6203880436533202,1.6020988908338833,5.088052201784876e-10
1,LP,0.8888888888888888,0,0.6203877089350028,1.6020990089380953,0.0
1,LP,0.8888888888888888,1,0.6203877087494402,1.6020990089511433,1.8556267633584866e-10
1,LP,0.8888888888888888,2,0.6203877087787486,1.602099008939835,1.5625423177567654e-10
1,LP,1.1111111111111112,0,0.6203876487282904,1.6020990518434781,0.0
1,LP,1.1111111111111112,1,0.6203876486424863,1.6020990518371083,8.580414156966754e-11
1,LP,1.1111111111111112,2,0.6203876486732153,1.6020990518391056,5.507516664948753e-11
1,LP,1.3333333333333333,0,0.6203869850167395,1.6020990486693625,1.5314571832902857e-10
1,LP,1.3333333333333333,1,0.6203869851456532,1.6020990486704536,2.4232060802376054e-11
1,LP,1.3333333333333333,2,0.6203869851698852,1.6020990486702364,0.0
1,LP,1.5555555555555554,0,0.6203911212089108,1.6020996081878547,4.996878466556609e-10
1,LP,1.5555555555555554,1,0.6203911207723323,1.602099608198865,9.362663977441343e-10
1,LP,1.5555555555555554,2,0.6203911217085987,1.6020996082084826,0.0
1,LP,1.7777777777777777,0,0.6203893347828652,1.6020996452218892,0.0
1,LP,1.7777777777777777,1,0.6203893342496114,1.6020996452108331,5.332537744706656e-10
1,LP,1.7777777777777777,2,0.6203893344588993,1.60209964522402,3.2396585414318224e-10
1,LP,2.0,0,0.6203876198094924,1.6020996771706293,0.0
1,LP,2.0,1,0.6203876193740736,1.6020996771533886,4.3541881211695e-10
1,LP,2.0,2,0.6203876194996004,1.6020996771535887,3.09892000949219e-10
1,RANDOM,0.0,0,0.3611111111111111,1.0928305535284886,0.30555555555555564
1,RANDOM,0.0,1,0.1111111111111111,0.6931471805599453,0.5555555555555556
1,RANDOM,0.0,2,0.6666666666666667,1.0114042647073518,0.0
1,WEIGHTED_RANDOM,0.0,0,0.4444444444444445,1.094780226007948,0.1111111111111111
1,WEIGHTED_RANDOM,0.0,1,0.38888888888888884,0.8921178708188162,0.16666666666666674
1,WEIGHTED_RANDOM,0.0,2,0.5555555555555556,0.9376369622724492,0.0
1,GREEDY,0.0,0,0.7222222222222222,1.3061066090853948,0.0
1,GREEDY,0.0,1,0.6388888888888888,1.5839311615729226,0.08333333333333337
1,GREEDY,0.0,2,0.49999999999999994,1.2424533248940002,0.22222222222222227
1,RANDOM,0.2222222222222222,0,0.3611111111111111,1.0928305535284886,0.30555555555555564
1,RANDOM,0.2222222222222222,1,0.1111111111111111,0.6931471805599453,0.5555555555555556
1,RANDOM,0.2222222222222222,2,0.6666666666666667,1.0114042647073518,0.0
1,WEIGHTED_RANDOM,0.2222222222222222,0,0.4444444444444445,1.094780226007948,0.1111111111111111
1,WEIGHTED_RANDOM,0.2222222222222222,1,0.38888888888888884,0.8921178708188162,0.16666666666666674
1,WEIGHTED_RANDOM,0.2222222222222222,2,0.5555555555555556,0.9376369622724492,0.0
1,GREEDY,0.2222222222222222,0,0.7222222222222222,1.3061066090853948,0.0
1,GREEDY,0.2222222222222222,1,0.6388888888888888,1.5839311615729226,0.08333333333333337
1,GREEDY,0.2222222222222222,2,0.49999999999999994,1.2424533248940002,0.22222222222222227
1,RANDOM,0.4444444444444444,0,0.3611111111111111,1.0928305535284886,0.30555555555555564
1,RANDOM,0.4444444444444444,1,0.1111111111111111,0.6931471805599453,0.5555555555555556
1,RANDOM,0.4444444444444444,2,0.6666666666666667,1.0114042647073518,0.0
1,WEIGHTED_RANDOM,0.4444444444444444,0,0.4444444444444445,1.094780226007948,0.1111111111111111
1,WEIGHTED_RANDOM,0.4444444444444444,1,0.38888888888888884,0.8921178708188162,0.16666666666666674
1,WEIGHTED_RANDOM,0.4444444444444444,2,0.5555555555555556,0.9376369622724492,0.0
1,GREEDY,0.4444444444444444,0,0.7222222222222222,1.3061066090853948,0.0
1,GREEDY,0.4444444444444444,1,0.6388888888888888,1.5839311615729226,0.08333333333333337
1,GREEDY,0.4444444444444444,2,0.49999999999999994,1.2424533248940002,0.22222222222222227
1,RANDOM,0.6666666666666666,0,0.3611111111111111,1.0928305535284886,0.30555555555555564
1,RANDOM,0.6666666666666666,1,0.1111111111111111,0.6931471805599453,0.5555555555555556
1,RANDOM,0.6666666666666666,2,0.6666666666666667,1.0114042647073518,0.0
1,WEIGHTED_RANDOM,0.6666666666666666,0,0.4444444444444445,1.094780226007948,0.1111111111111111
1,WEIGHTED_RANDOM,0.6666666666666666,1,0.38888888888888884,0.8921178708188162,0.16666666666666674
1,WEIGHTED_RANDOM,0.6666666666666666,2,0.5555555555555556,0.9376369622724492,0.0
1,GREEDY,0.6666666666666666,0,0.7222222222222222,1.3061066090853948,0.0
1,GREEDY,0.6666666666666666,1,0.6388888888888888,1.5839311615729226,0.08333333333333337
1,GREEDY,0.6666666666666666,2,0.49999999999999994,1.2424533248940002,0.22222222222222227
1,RANDOM,0.8888888888888888,0,0.3611111111111111,1.0928305535284886,0.30555555555555564
1,RANDOM,0.8888888888888888,1,0.1111111111111111,0.6931471805599453,0.5555555555555556
1,RANDOM,0.8888888888888888,2,0.6666666666666667,1.0114042647073518,0.0
1,WEIGHTED_RANDOM,0.8888888888888888,0,0.4444444444444445,1.094780226007948,0.1111111111111111
1,WEIGHTED_RANDOM,0.8888888888888888,1,0.38888888888888884,0.8921178708188162,0.16666666666666674
1,WEIGHTED_RANDOM,0.8888888888888888,2,0.5555555555555556,0.9376369622724492,0.0
1,GREEDY,0.8888888888888888,0,0.7222222222222222,1.3061066090853948,0.0
1,GREEDY,0.8888888888888888,1,0.6388888888888888,1.5839311615729226,0.08333333333333337
1,GREEDY,0.8888888888888888,2,0.49999999999999994,1.2424533248940002,0.22222222222222227
1,RANDOM,1.1111111111111112,0,0.3611111111111111,1.0928305535284886,0.30555555555555564
1,RANDOM,1.1111111111111112,1,0.1111111111111111,0.6931471805599453,0.5555555555555556
1,RANDOM,1.1111111111111112,2,0.6666666666666667,1.0114042647073518,0.0
